timestamp,趋势跟踪策略,MACD策略,RSI策略,布林带策略,均值回归策略,突破策略,超级趋势策略,一目均衡表策略,随机指标策略,成交量突破策略,动量策略,链上资金流向策略,矿工持仓策略,MVRV策略,多时间框架策略,波动率突破策略,趋势反转策略,组合策略
2022-01-01,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000,100000.0,100000.0,100000.0,100000.0,100000.0
2022-01-02,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000,100000.0,100000.0,100000.0,100000.0,100000.0
2022-01-03,100000.0,104441.46683026626,100000.0,100000.0,100000.0,100000.0,104441.46683026626,100000.0,100000.0,100000.0,100000.0,100000.0,100000,100000.0,100000.0,100000.0,100000.0,104441.46683026626
2022-01-04,100000.0,107688.13424979559,100000.0,100000.0,100000.0,100000.0,107688.13424979559,100000.0,100000.0,100000.0,100000.0,100000.0,100000,100000.0,100000.0,100000.0,100000.0,107688.13424979559
2022-01-05,100000.0,120275.74441411845,100000.0,100000.0,100000.0,100000.0,120275.74441411845,100000.0,100000.0,100000.0,100000.0,100000.0,100000,100000.0,100000.0,100000.0,100000.0,120275.74441411845
2022-01-06,100000.0,122225.6798920953,100000.0,100000.0,100000.0,100000.0,122225.6798920953,100000.0,100000.0,100000.0,100000.0,100000.0,100000,100000.0,100000.0,100000.0,100000.0,122225.6798920953
2022-01-07,100000.0,130239.80791004893,100000.0,100000.0,100000.0,100000.0,130239.80791004893,100000.0,100000.0,100000.0,100000.0,100000.0,100000,100000.0,100000.0,100000.0,100000.0,130239.80791004893
2022-01-08,100000.0,129641.00716107749,100000.0,100000.0,100000.0,100000.0,129641.00716107749,100000.0,100000.0,100000.0,100000.0,100000.0,100000,100000.0,100000.0,100000.0,100000.0,129641.00716107749
2022-01-09,100000.0,128663.55455230255,100000.0,100000.0,100000.0,100000.0,128663.55455230255,100000.0,100000.0,100000.0,100000.0,100000.0,100000,100000.0,100000.0,100000.0,100000.0,128663.55455230255
2022-01-10,100000.0,128886.29405039694,100000.0,100000.0,100000.0,100000.0,128886.29405039694,100000.0,100000.0,100000.0,100000.0,100000.0,100000,100000.0,100000.0,100000.0,100000.0,128886.29405039694
2022-01-11,100000.0,124092.08144959052,100000.0,100000.0,100000.0,100000.0,124092.08144959052,100000.0,100000.0,100000.0,100000.0,100000.0,100000,100000.0,100000.0,100000.0,100000.0,124092.08144959052
2022-01-12,100000.0,117888.52472329121,100000.0,100000.0,100000.0,100000.0,117888.52472329121,100000.0,100000.0,100000.0,100000.0,100000.0,100000,100000.0,100000.0,100000.0,100000.0,117888.52472329121
2022-01-13,100000.0,117888.52472329121,100000.0,100000.0,100000.0,100000.0,117888.52472329121,100000.0,100000.0,100000.0,100000.0,100000.0,100000,100000.0,100000.0,100000.0,100000.0,117888.52472329121
2022-01-14,100000.0,117888.52472329121,100000.0,100000.0,100000.0,100000.0,117888.52472329121,100000.0,100000.0,100000.0,100000.0,100000.0,100000,100000.0,100000.0,100000.0,100000.0,117888.52472329121
2022-01-15,100000.0,117957.51062465506,100000.0,100000.0,100000.0,100000.0,117888.52472329121,100000.0,100000.0,100000.0,100000.0,100000.0,100000,100000.0,100000.0,100000.0,100000.0,117888.52472329121
2022-01-16,100000.0,117921.69920113574,100000.0,100000.0,100000.0,100000.0,117888.52472329121,100000.0,100000.0,100000.0,100000.0,100000.0,100000,100000.0,100000.0,100000.0,100000.0,117888.52472329121
2022-01-17,100000.0,115454.7656367048,100000.0,100000.0,100000.0,100000.0,117888.52472329121,100000.0,100000.0,100000.0,100000.0,100000.0,100000,100000.0,100000.0,100000.0,100000.0,117888.52472329121
2022-01-18,100000.0,115881.49716795264,100000.0,100000.0,100000.0,100000.0,117888.52472329121,100000.0,100000.0,100000.0,99622.69381217852,100000.0,100000,100000.0,100000.0,100000.0,100000.0,117888.52472329121
2022-01-19,100000.0,113919.07085504945,100000.0,100000.0,100000.0,100000.0,117888.52472329121,100000.0,100000.0,100000.0,101357.82594276407,100000.0,100000,100000.0,100000.0,100000.0,100000.0,117888.52472329121
2022-01-20,100000.0,113919.07085504945,100000.0,100000.0,100000.0,100000.0,117888.52472329121,100000.0,100000.0,100000.0,103812.44712878409,100000.0,100000,100000.0,100000.0,100000.0,97162.69278615977,117888.52472329121
2022-01-21,100000.0,127050.31967160568,100000.0,100000.0,100000.0,100000.0,117888.52472329121,100000.0,100000.0,100000.0,125470.17812308966,100000.0,100000,100000.0,100000.0,100000.0,73918.27281632947,117888.52472329121
2022-01-22,100000.0,131309.6669746037,100000.0,100000.0,100000.0,103334.03245689816,117888.52472329121,100000.0,100000.0,103334.03245689816,135546.7775971445,100000.0,100000,100000.0,100000.0,100000.0,73918.27281632947,117888.52472329121
2022-01-23,100000.0,127672.71779994918,100000.0,100000.0,100000.0,97835.57103223725,117888.52472329121,100000.0,102748.86137914553,97835.57103223725,126942.62359573391,100000.0,100000,100000.0,100000.0,100000.0,73918.27281632947,117888.52472329121
2022-01-24,100000.0,127672.71779994918,100964.24833784271,100000.0,100000.0,96895.74201127685,117888.52472329121,100000.0,103723.15797155105,96895.74201127685,126942.62359573391,100000.0,100000,100000.0,100000.0,100000.0,73918.27281632947,117888.52472329121
